,degree
jon,0.2650602409638554
barristan,0.10441767068273092
stannis,0.08835341365461846
asha,0.08032128514056225
hizdahr,0.07228915662650602
daenerys,0.0682730923694779
ramsay,0.056224899598393566
quentyn,0.048192771084337345
kevan,0.04417670682730923
tyrion,0.040160642570281124
theon,0.040160642570281124
haldon,0.040160642570281124
jaime,0.040160642570281124
aegon,0.040160642570281124
davos,0.040160642570281124
gerris,0.040160642570281124
melisandre,0.03614457831325301
robert,0.03614457831325301
victarion,0.03614457831325301
rhaegar,0.0321285140562249
arya,0.0321285140562249
balon,0.0321285140562249
brown,0.0321285140562249
queen,0.0321285140562249
penny,0.0321285140562249
daario,0.0321285140562249
roose,0.028112449799196783
jeyne,0.028112449799196783
yezzan,0.028112449799196783
obara,0.024096385542168672
reznak,0.024096385542168672
illyrio,0.024096385542168672
euron,0.024096385542168672
dornish,0.024096385542168672
missandei,0.020080321285140562
godry,0.020080321285140562
mord,0.020080321285140562
mance,0.020080321285140562
tormund,0.020080321285140562
jorah,0.020080321285140562
skahaz,0.020080321285140562
justin,0.020080321285140562
myrcella,0.01606425702811245
bracken,0.01606425702811245
meera,0.01606425702811245
sam,0.01606425702811245
alys,0.01606425702811245
arnolf,0.01606425702811245
young,0.01606425702811245
bowen,0.01606425702811245
axell,0.01606425702811245
irri,0.01606425702811245
lemore,0.012048192771084336
franklyn,0.012048192771084336
harry,0.012048192771084336
beans,0.012048192771084336
belwas,0.012048192771084336
cersei,0.012048192771084336
arianne,0.012048192771084336
qezza,0.012048192771084336
grey,0.012048192771084336
benerro,0.012048192771084336
clayton,0.012048192771084336
patchface,0.012048192771084336
tywin,0.012048192771084336
black,0.012048192771084336
blackwood,0.012048192771084336
areo,0.012048192771084336
cregan,0.012048192771084336
gerrick,0.012048192771084336
archibald,0.012048192771084336
hodor,0.012048192771084336
reek,0.012048192771084336
devan,0.012048192771084336
nurse,0.012048192771084336
varamyr,0.012048192771084336
yandry,0.012048192771084336
moqorro,0.012048192771084336
ysilla,0.012048192771084336
jhiqui,0.012048192771084336
mace,0.008032128514056224
jhogo,0.008032128514056224
denzo,0.008032128514056224
tyene,0.008032128514056224
aerys,0.008032128514056224
qarl,0.008032128514056224
val,0.008032128514056224
kyra,0.008032128514056224
kerwin,0.008032128514056224
mully,0.008032128514056224
clydas,0.008032128514056224
ben,0.008032128514056224
sour,0.008032128514056224
boros,0.008032128514056224
wulfe,0.008032128514056224
harma,0.008032128514056224
halleck,0.008032128514056224
sansa,0.008032128514056224
jojen,0.008032128514056224
symon,0.008032128514056224
caggo,0.008032128514056224
captain,0.008032128514056224
big,0.008032128514056224
longwater,0.008032128514056224
marlon,0.008032128514056224
dick,0.008032128514056224
elia,0.008032128514056224
doran,0.008032128514056224
frey,0.008032128514056224
kem,0.008032128514056224
cletus,0.008032128514056224
nymeria,0.008032128514056224
galazza,0.008032128514056224
qavo,0.008032128514056224
septon,0.008032128514056224
dagon,0.008032128514056224
skinner,0.008032128514056224
mormont,0.008032128514056224
othell,0.008032128514056224
hoster,0.008032128514056224
yurkhaz,0.008032128514056224
kasporio,0.008032128514056224
gilly,0.008032128514056224
ralf,0.008032128514056224
groleo,0.008032128514056224
garth,0.008032128514056224
cleon,0.008032128514056224
rowan,0.008032128514056224
xaro,0.008032128514056224
holly,0.008032128514056224
khrazz,0.008032128514056224
sweets,0.008032128514056224
richard,0.008032128514056224
jonos,0.008032128514056224
bastard,0.008032128514056224
ronald,0.008032128514056224
harys,0.004016064257028112
kegs,0.004016064257028112
randyll,0.004016064257028112
therry,0.004016064257028112
harle,0.004016064257028112
harlaw,0.004016064257028112
alannys,0.004016064257028112
pycelle,0.004016064257028112
malegorn,0.004016064257028112
lorren,0.004016064257028112
cotter,0.004016064257028112
mikken,0.004016064257028112
kedge,0.004016064257028112
lysono,0.004016064257028112
erik,0.004016064257028112
ulmer,0.004016064257028112
braavosi,0.004016064257028112
barsena,0.004016064257028112
brienne,0.004016064257028112
stone,0.004016064257028112
barba,0.004016064257028112
hildy,0.004016064257028112
trystane,0.004016064257028112
obella,0.004016064257028112
dorea,0.004016064257028112
ned,0.004016064257028112
princess,0.004016064257028112
snatch,0.004016064257028112
red,0.004016064257028112
ronnet,0.004016064257028112
meryn,0.004016064257028112
raymun,0.004016064257028112
drinkwater,0.004016064257028112
arthor,0.004016064257028112
walder,0.004016064257028112
aenys,0.004016064257028112
hammer,0.004016064257028112
doniphos,0.004016064257028112
grazhar,0.004016064257028112
brogg,0.004016064257028112
draqaz,0.004016064257028112
ashara,0.004016064257028112
bhakaz,0.004016064257028112
marghaz,0.004016064257028112
tattered,0.004016064257028112
books,0.004016064257028112
dywen,0.004016064257028112
ellaria,0.004016064257028112
hop-robin,0.004016064257028112
borroq,0.004016064257028112
joramun,0.004016064257028112
wick,0.004016064257028112
alliser,0.004016064257028112
torgon,0.004016064257028112
green,0.004016064257028112
meris,0.004016064257028112
emrick,0.004016064257028112
arron,0.004016064257028112
tycho,0.004016064257028112
tom,0.004016064257028112
emmett,0.004016064257028112
toregg,0.004016064257028112
craster,0.004016064257028112
robett,0.004016064257028112
old,0.004016064257028112
giant,0.004016064257028112
steelskin,0.004016064257028112
sigorn,0.004016064257028112
viserys,0.004016064257028112
denys,0.004016064257028112
patrek,0.004016064257028112
tytos,0.004016064257028112
thistle,0.004016064257028112
janos,0.004016064257028112
godric,0.004016064257028112
galbart,0.004016064257028112
rattleshirt,0.004016064257028112
haggon,0.004016064257028112
ygritte,0.004016064257028112
satin,0.004016064257028112
sybelle,0.004016064257028112
narbert,0.004016064257028112
selyse,0.004016064257028112
alysane,0.004016064257028112
aeron,0.004016064257028112
eddard,0.004016064257028112
scar,0.004016064257028112
brandon,0.004016064257028112
belaquo,0.004016064257028112
frenya,0.004016064257028112
aemon,0.004016064257028112
kedry,0.004016064257028112
stalwart,0.004016064257028112
squirrel,0.004016064257028112
great,0.004016064257028112
bartimus,0.004016064257028112
owen,0.004016064257028112
grenn,0.004016064257028112
benjen,0.004016064257028112
wylis,0.004016064257028112
little,0.004016064257028112
cromm,0.004016064257028112
grimtongue,0.004016064257028112
barbrey,0.004016064257028112
brynden,0.004016064257028112
leaf,0.004016064257028112
rory,0.004016064257028112
leathers,0.004016064257028112
weeper,0.004016064257028112
hairy,0.004016064257028112
hagen,0.004016064257028112
mollono,0.004016064257028112
leona,0.004016064257028112
willem,0.004016064257028112
